Date,AAPL,AMZN,GOOGL,MSFT,SPY
2023-01-03,123.21119689941406,85.81999969482422,88.50955200195312,233.98562622070312,367.1507568359375
2023-01-04,124.48202514648438,85.13999938964844,87.47666931152344,223.75035095214844,369.98529052734375
2023-01-05,123.16194915771484,83.12000274658203,85.60953521728516,217.11891174316406,365.762451171875
2023-01-06,127.69358825683594,86.08000183105469,86.7417221069336,219.677734375,374.150146484375
2023-01-09,128.2156982421875,87.36000061035156,87.41707611083984,221.8165740966797,373.93804931640625
2023-01-10,128.78709411621094,89.87000274658203,87.8143310546875,223.50621032714844,376.5604553222656
2023-01-11,131.50608825683594,95.08999633789062,90.89310455322266,230.26461791992188,381.3230895996094
2023-01-12,131.42726135253906,95.2699966430664,90.5057601928711,232.9406280517578,382.7114562988281
2023-01-13,132.7571563720703,98.12000274658203,91.48899841308594,233.64382934570312,384.1961669921875
2023-01-17,133.9196319580078,96.05000305175781,90.66468048095703,234.73768615722656,383.4923400878906
2023-01-18,133.2005157470703,95.45999908447266,90.495849609375,230.3036651611328,377.4377746582031
2023-01-19,133.25962829589844,93.68000030517578,92.41262817382812,226.5142822265625,374.6900939941406
2023-01-20,135.82095336914062,97.25,97.34857177734375,234.61070251464844,381.6701965332031
2023-01-23,139.01283264160156,97.5199966430664,99.1064453125,236.9156036376953,386.2497253417969
2023-01-24,140.41172790527344,96.31999969482422,97.03077697753906,236.38819885253906,385.8351135253906
2023-01-25,139.75167846679688,97.18000030517578,94.5677490234375,234.99159240722656,385.979736328125
2023-01-26,141.8204803466797,99.22000122070312,96.85200500488281,242.20904541015625,390.2218322753906
2023-01-27,143.76116943359375,102.23999786376953,98.68932342529297,242.36529541015625,391.11846923828125
2023-01-30,140.87472534179688,100.55000305175781,96.27597045898438,237.04258728027344,386.21112060546875
2023-01-31,142.1455535888672,103.12999725341797,98.16295623779297,242.02346801757812,391.8897705078125
2023-02-01,143.26861572265625,105.1500015258789,99.74205780029297,246.84811401367188,396.05462646484375
2023-02-02,148.57850646972656,112.91000366210938,107.00199127197266,258.4214782714844,401.82000732421875
2023-02-03,152.20382690429688,103.38999938964844,104.06227111816406,252.31736755371094,397.5490417480469
2023-02-06,149.47500610351562,102.18000030517578,102.19514465332031,250.77423095703125,395.1195373535156
2023-02-07,152.3515625,102.11000061035156,106.9026870727539,261.3122863769531,400.2870788574219
2023-02-08,149.6621551513672,100.05000305175781,98.68932342529297,260.501708984375,395.9100341796875
2023-02-09,148.6277618408203,98.23999786376953,94.35919952392578,257.4642333984375,392.47784423828125
2023-02-10,148.99281311035156,97.61000061035156,93.92221069335938,256.9564208984375,393.39373779296875
2023-02-13,151.7948760986328,99.54000091552734,93.9619369506836,264.9844665527344,398.0117492675781
2023-02-14,151.15357971191406,99.69999694824219,94.03144836425781,265.814697265625,397.8287048339844
2023-02-15,153.25511169433594,101.16000366210938,96.27597045898438,263.69000244140625,399.1205749511719
2023-02-16,151.65675354003906,98.1500015258789,94.85577392578125,256.6698913574219,393.6250915527344
2023-02-17,150.5122528076172,97.19999694824219,93.7037124633789,252.66537475585938,392.6417541503906
2023-02-21,146.4966278076172,94.58000183105469,91.16124725341797,247.38807678222656,384.7650146484375
2023-02-22,146.92086791992188,95.79000091552734,91.02220153808594,246.2523193359375,384.2347412109375
